famiglia,ipotesi,evento,paese_controllo,carburante,fonte,shock_usato,shock_tipo,wholesale_tipo,n_obs_panel,lags_NW,n_IT_pre,n_IT_post,PTA_pvalue,PTA_non_rigettata,delta_DiD_EUR_L,SE_NW,CI_95_low,CI_95_high,t_stat,p_value,p_value_twosided,R2_OLS,H0,interpretation
C,H0_iii,Iran-Israele (Giu 2025),Paesi Bassi,Benzina,DiD_Iran-Israele (Giu 2025)_Paesi Bassi_Benzina,2025-04-28,MCMC,futures,210,5,69,36,0.0987,True,-0.03504,0.00728,-0.04932,-0.02077,-4.811,0.999999,2e-06,0.705,non rifiutata,δ≤0 n.s.: IT non cresce più di Paesi Bassi
C,H0_iii,Iran-Israele (Giu 2025),Paesi Bassi,Diesel,DiD_Iran-Israele (Giu 2025)_Paesi Bassi_Diesel,2025-04-28,MCMC,futures,210,5,69,36,0.6673,True,-0.04747,0.00907,-0.06525,-0.02968,-5.232,1.0,0.0,0.788,non rifiutata,δ≤0 n.s.: IT non cresce più di Paesi Bassi
C,H0_iii,Ucraina (Feb 2022),Belgio,Benzina,DiD_Ucraina (Feb 2022)_Belgio_Benzina,2022-01-03,MCMC,futures,206,5,51,52,0.2555,True,-0.00122,0.0116,-0.02397,0.02152,-0.105,0.54197,0.91606,0.292,non rifiutata,δ≤0 n.s.: IT non cresce più di Belgio
C,H0_iii,Ucraina (Feb 2022),Belgio,Diesel,DiD_Ucraina (Feb 2022)_Belgio_Diesel,2022-01-03,MCMC,futures,206,5,51,52,0.5578,True,-0.01253,0.01094,-0.03398,0.00892,-1.145,0.873913,0.252175,0.159,non rifiutata,δ≤0 n.s.: IT non cresce più di Belgio
C,H0_iii,Iran-Israele (Giu 2025),Belgio,Benzina,DiD_Iran-Israele (Giu 2025)_Belgio_Benzina,2025-04-28,MCMC,futures,210,5,69,36,0.5412,True,-0.00318,0.00552,-0.01401,0.00764,-0.576,0.71774,0.56452,0.125,non rifiutata,δ≤0 n.s.: IT non cresce più di Belgio
C,H0_iii,Iran-Israele (Giu 2025),Belgio,Diesel,DiD_Iran-Israele (Giu 2025)_Belgio_Diesel,2025-04-28,MCMC,futures,210,5,69,36,0.5801,True,-0.01485,0.00567,-0.02597,-0.00373,-2.617,0.995562,0.008876,0.272,non rifiutata,δ≤0 n.s.: IT non cresce più di Belgio
C,H0_iii,Ucraina (Feb 2022),Danimarca,Benzina,DiD_Ucraina (Feb 2022)_Danimarca_Benzina,2022-01-03,MCMC,futures,206,5,51,52,0.0779,True,0.00964,0.01425,-0.01828,0.03757,0.677,0.249217,0.498434,0.516,non rifiutata,δ>0 n.s.: differenza IT vs Danimarca non distinguibile da zero
C,H0_iii,Ucraina (Feb 2022),Danimarca,Diesel,DiD_Ucraina (Feb 2022)_Danimarca_Diesel,2022-01-03,MCMC,futures,206,5,51,52,0.3151,True,0.02285,0.01282,-0.00228,0.04799,1.782,0.037363,0.074726,0.324,RIFIUTATA,δ>0 sign.: IT > Danimarca post-shock — specificità IT
C,H0_iii,Iran-Israele (Giu 2025),Danimarca,Benzina,DiD_Iran-Israele (Giu 2025)_Danimarca_Benzina,2025-04-28,MCMC,futures,210,5,69,36,0.0078,False,-0.01255,0.00744,-0.02713,0.00203,-1.687,0.954235,0.091531,0.898,non rifiutata,δ≤0 n.s.: IT non cresce più di Danimarca
C,H0_iii,Iran-Israele (Giu 2025),Danimarca,Diesel,DiD_Iran-Israele (Giu 2025)_Danimarca_Diesel,2025-04-28,MCMC,futures,210,5,69,36,0.9197,True,-0.01533,0.00833,-0.03165,0.00099,-1.841,0.967173,0.065654,0.727,non rifiutata,δ≤0 n.s.: IT non cresce più di Danimarca
C,H0_iii,Ucraina (Feb 2022),Finlandia,Benzina,DiD_Ucraina (Feb 2022)_Finlandia_Benzina,2022-01-03,MCMC,futures,206,5,51,52,0.1754,True,-0.01017,0.0125,-0.03466,0.01432,-0.814,0.792123,0.415755,0.322,non rifiutata,δ≤0 n.s.: IT non cresce più di Finlandia
C,H0_iii,Ucraina (Feb 2022),Finlandia,Diesel,DiD_Ucraina (Feb 2022)_Finlandia_Diesel,2022-01-03,MCMC,futures,206,5,51,52,0.5791,True,-0.03295,0.01353,-0.05948,-0.00642,-2.435,0.992548,0.014904,0.486,non rifiutata,δ≤0 n.s.: IT non cresce più di Finlandia
C,H0_iii,Iran-Israele (Giu 2025),Finlandia,Benzina,DiD_Iran-Israele (Giu 2025)_Finlandia_Benzina,2025-04-28,MCMC,futures,210,5,69,36,0.0022,False,-0.00058,0.01334,-0.02673,0.02558,-0.043,0.517189,0.965622,0.219,non rifiutata,δ≤0 n.s.: IT non cresce più di Finlandia
C,H0_iii,Iran-Israele (Giu 2025),Finlandia,Diesel,DiD_Iran-Israele (Giu 2025)_Finlandia_Diesel,2025-04-28,MCMC,futures,210,5,69,36,0.9305,True,0.03295,0.01553,0.0025,0.06339,2.121,0.016955,0.03391,0.549,RIFIUTATA,δ>0 sign.: IT > Finlandia post-shock — specificità IT
C,H0_iii,Ucraina (Feb 2022),Austria,Benzina,DiD_Ucraina (Feb 2022)_Austria_Benzina,2022-01-03,MCMC,futures,206,5,51,52,0.8783,True,-0.01228,0.01267,-0.03712,0.01255,-0.97,0.833867,0.332267,0.234,non rifiutata,δ≤0 n.s.: IT non cresce più di Austria
C,H0_iii,Ucraina (Feb 2022),Austria,Diesel,DiD_Ucraina (Feb 2022)_Austria_Diesel,2022-01-03,MCMC,futures,206,5,51,52,0.9781,True,-0.01104,0.01269,-0.03592,0.01384,-0.87,0.807808,0.384385,0.12,non rifiutata,δ≤0 n.s.: IT non cresce più di Austria
C,H0_iii,Iran-Israele (Giu 2025),Austria,Benzina,DiD_Iran-Israele (Giu 2025)_Austria_Benzina,2025-04-28,MCMC,futures,210,5,69,36,0.0483,False,-0.01041,0.00394,-0.01812,-0.00269,-2.644,0.995901,0.008197,0.565,non rifiutata,δ≤0 n.s.: IT non cresce più di Austria
C,H0_iii,Iran-Israele (Giu 2025),Austria,Diesel,DiD_Iran-Israele (Giu 2025)_Austria_Diesel,2025-04-28,MCMC,futures,210,5,69,36,0.2262,True,0.0006,0.00568,-0.01054,0.01174,0.106,0.457844,0.915689,0.072,non rifiutata,δ>0 n.s.: differenza IT vs Austria non distinguibile da zero
